cp,lat,lon,display
53100,19.5082464,-99.238625,"53100, Naucalpan de Juárez, Estado de México, México"
53110,19.5,-99.2667,Santa Cruz Del Monte
53120,19.5087461,-99.2639907,"53120, Naucalpan de Juárez, Estado de México, México"
53126,19.518276,-99.2739329,"53126, Naucalpan de Juárez, Estado de México, México"
53127,19.4,-99.35,La Alteña 2a Secc
53138,19.4865,-99.3664,Hacienda de Cristo
53140,21.0390928,-101.4165639,"53140, Silao de la Victoria, Guanajuato, México"
53160,19.5,-99.2333,La Florida
53230,19.4990332,-99.2509218,"53230, Naucalpan de Juárez, Estado de México, México"
53237,19.5687,-99.4081,Los Fresnos
53240,19.5682455,-99.3030139,"53240, Atizapán de Zaragoza, Estado de México, México"
53250,19.4980142,-99.2531559,"53250, Naucalpan de Juárez, Estado de México, México"
53260,19.485806,-99.2709393,"53260, Naucalpan de Juárez, Estado de México, México"
53270,19.4764195,-99.269473,"53270, Naucalpan de Juárez, Estado de México, México"
53290,19.4700494,-99.2647252,"53290, Naucalpan de Juárez, Estado de México, México"
53300,19.4935968,-99.227446,"53300, Naucalpan de Juárez, Estado de México, México"
53310,19.6323,-99.3248,Bosque de Echegaray
53320,19.6323,-99.3248,10 de Abril
53329,19.6323,-99.3248,Rivera de Echegaray
53330,19.9833,-99.7792,Modelo
53340,19.4817976,-99.2238706,"53340, Naucalpan de Juárez, Estado de México, México"
53370,19.4769334,-99.2273814,"53370, Naucalpan de Juárez, Estado de México, México"
53390,19.4552972,-99.217692,"53390, Naucalpan de Juárez, Estado de México, México"
53398,19.4577145,-99.2225572,"53398, Naucalpan de Juárez, Estado de México, México"
53426,19.4592274,-99.2665875,"53426, Naucalpan de Juárez, Estado de México, México"
53427,19.4641647,-99.2763223,"53427, Naucalpan de Juárez, Estado de México, México"
53490,19.4603058,-99.2582699,"53490, Naucalpan de Juárez, Estado de México, México"
53500,19.4699998,-99.2311416,"53500, Naucalpan de Juárez, Estado de México, México"
53550,19.4592556,-99.2327945,"53550, Naucalpan de Juárez, Estado de México, México"
